old_index,city_name,tdate,hr,order_id,driver_id,starting_lng,starting_lat,start_poi,dest_lng,dest_lat,dest_poi,begin_time,finish_time,travel_distance,travel_time,strive_time,rnd,newdistance
331677,成都市,20161013,9,6f7d6521,220d604d,104.082434,30.68107,酒店宾馆,104.09507,30.71063,住宅小区,2016-10-13 09:19:48,2016-10-13 09:31:16,4.1,11,2016-10-13 09:18:43,0.139394632352195,4208.383
155358,成都市,20161012,7,b41ae053,a1308bc3,104.092201,30.679198,住宅小区,104.07659,30.660101,医院,2016-10-12 07:53:31,2016-10-12 08:05:59,3.4,12,2016-10-12 07:47:34,0.0651606176942552,2792.472
180072,成都市,20160406,9,23e2092e,37053405,104.082048,30.678388,学校,104.050951,30.683937,医院,2016-04-06 09:03:09,2016-04-06 09:18:01,3.6,14,2016-04-06 08:57:16,0.0755546226283093,3917.502
220662,成都市,20151207,8,172200f3,bce1d7c4,104.086018,30.680984,住宅小区,104.058962,30.644972,地名地址,2015-12-07 08:09:56,2015-12-07 08:56:18,7.6,46,2015-12-07 08:02:18,0.0925628571329096,6579.992
351437,成都市,20151211,9,69d00e25,150e99f7,104.089659,30.67056,公交地铁,104.05212,30.69238,商务楼宇,2015-12-11 09:25:10,2015-12-11 09:38:44,4.9,13,2015-12-11 09:17:42,0.147620010094254,4726.838
330088,成都市,20160609,9,bd607500,24ad638a,104.084473,30.671844,住宅小区,104.083332,30.64977,酒店宾馆,2016-06-09 09:13:54,2016-06-09 09:22:57,3.6,9,2016-06-09 09:13:22,0.13874506382585,3016.816
300358,成都市,20161018,7,fa671d5e,a7f7917e,104.070984,30.694523,住宅小区,104.07318,30.70213,公交地铁,2016-10-18 07:19:42,2016-10-18 07:29:26,2.7,9,2016-10-18 07:16:15,0.126183859195634,1922.3570000000004
409894,成都市,20160311,7,f6dc4cf2,d4cb4a86,104.092471,30.686412,住宅小区,104.052412,30.667199,医院,2016-03-11 07:57:31,2016-03-11 08:32:29,6.3,34,2016-03-11 07:50:58,0.17205864707517,5751.711000000001
116762,成都市,20161009,7,a4644ea4,d10f1de4,104.068176,30.682706,住宅小区,104.04065,30.66342,医院,2016-10-09 07:41:30,2016-10-09 07:51:34,5.1,10,2016-10-09 07:37:58,0.0490191255785248,4962.182
194366,成都市,20161025,7,9b5c7091,f1785c7,104.07428,30.67849,住宅小区,104.09233,30.64598,商务楼宇,2016-10-25 07:47:14,2016-10-25 08:01:50,5.5,14,2016-10-25 07:44:05,0.0815393113199587,5353.084999999999
409804,成都市,20160526,8,a8eb9750,9b367fb0,104.087639,30.690521,住宅小区,104.07366,30.66076,购物,2016-05-26 08:45:03,2016-05-26 09:06:40,4.0,21,2016-05-26 08:30:08,0.172021465895883,4687.118
271084,成都市,20161015,9,c8341fdb,bbb731cf,104.07699,30.67737,住宅小区,104.02057,30.66292,购物,2016-10-15 09:11:25,2016-10-15 09:31:54,8.4,20,2016-10-15 09:07:06,0.113798060135902,8199.188000000002
85548,成都市,20160729,7,476e40f4,244fc3f4,104.07409,30.6786,住宅小区,104.09229,30.64572,商务楼宇,2016-07-29 07:59:01,2016-07-29 08:18:30,5.1,19,2016-07-29 07:55:22,0.0358364801606011,5353.084999999999
234058,成都市,20160922,8,f0e1561b,7586e7f7,104.08382,30.68852,酒店宾馆,104.05966,30.6608,商务楼宇,2016-09-22 08:41:57,2016-09-22 08:57:43,4.2,15,2016-09-22 08:39:20,0.0982402497305799,4414.298
73623,成都市,20160923,9,eccd600,732ebb1,104.0851,30.6852,商务楼宇,104.10379,30.70527,公交地铁,2016-09-23 09:17:42,2016-09-23 09:25:44,3.5,8,2016-09-23 09:05:22,0.0308092718580084,3742.813
